,country,count
0,United States,13608
1,China,2734
2,Canada,1468
3,Japan,1237
4,"Korea, Republic of",993
5,United Kingdom,901
6,Mexico,579
7,"Taiwan, Province of China",394
8,Turkey,326
9,Philippines,298
10,Thailand,289
11,Indonesia,268
12,Malaysia,234
13,Germany,160
14,United Arab Emirates,144
15,France,132
16,Singapore,130
17,Russian Federation,109
18,Argentina,108
19,Kuwait,106
20,Brazil,102
21,Saudi Arabia,102
22,Spain,101
23,Chile,96
24,Peru,89
25,India,88
26,Ireland,73
27,Switzerland,61
28,Netherlands,59
29,Poland,53
30,Egypt,31
31,Lebanon,29
32,Czech Republic,28
33,Greece,28
34,Romania,27
35,Viet Nam,25
36,New Zealand,24
37,Puerto Rico,24
38,Australia,22
39,Bahrain,21
40,Denmark,21
41,Belgium,19
42,Austria,18
43,Qatar,18
44,Sweden,18
45,Jordan,17
46,Norway,17
47,Hungary,16
48,Oman,12
49,El Salvador,11
50,Portugal,11
51,Colombia,11
52,Costa Rica,11
53,Bahamas,10
54,Cyprus,10
55,Morocco,9
56,Kazakhstan,8
57,Finland,8
58,Guatemala,7
59,Bulgaria,5
60,Brunei Darussalam,5
61,Panama,5
62,Cambodia,4
63,"Bolivia, Plurinational State of",4
64,Azerbaijan,4
65,Trinidad and Tobago,3
66,Cura̤ao,3
67,Aruba,3
68,Slovakia,3
69,South Africa,3
70,Monaco,2
71,Luxembourg,2
72,Andorra,1
